127.0.0.1 - - [15/Oct/2018:11:14:41 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:27 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:27 +0530] "GET /Frontend_Collab/resources/images/niit.jpg HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:28 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:28 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:28 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:28 +0530] "GET /Frontend_Collab/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:15:32 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:16:17 +0530] "POST /middleware_Collab/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:16:17 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:16:39 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:16:45 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:28 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:35 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:36 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:36 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:37 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:37 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:38 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:38 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:38 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:19:38 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
