127.0.0.1 - - [18/Nov/2018:18:42:01 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:04 +0530] "GET /middleware_Collab/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:50 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:51 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:51 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:51 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:51 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:52 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:52 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:52 +0530] "GET /Frontend_Collab/controllers/blogcontroller.js HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:52 +0530] "GET /Frontend_Collab/services/blogservice.js HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:52 +0530] "GET /Frontend_Collab/controllers/blogindetailcontroller.js HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:42:59 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:43:00 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:43:05 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:43:07 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [18/Nov/2018:18:43:07 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
